accession	message	sample_name	sample_title	bioproject_accession	organism	collection_date	env_broad_scale	env_local_scale	env_medium	geo_loc_name	host	lat_lon	air_temp_regm	altitude	ances_data	antibiotic_regm	biol_stat	biotic_regm	chem_administration	chem_mutagen	climate_environment	collection_method	cult_root_med	depth	elev	fertilizer_regm	fungicide_regm	gaseous_environment	genetic_mod	gravity	growth_facil	growth_habit	growth_hormone_regm	herbicide_regm	host_age	host_common_name	host_disease	host_dry_mass	host_genotype	host_height	host_length	host_life_stage	host_phenotype	host_subspecf_genlin	host_symbiont	host_taxid	host_tot_mass	host_wet_mass	humidity_regm	isolation_source	light_regm	mechanical_damage	mineral_nutr_regm	misc_param	neg_cont_type	non_mineral_nutr_regm	omics_observ_id	organism_count	oxy_stat_samp	perturbation	pesticide_regm	ph_regm	plant_growth_med	plant_product	plant_sex	plant_struc	pos_cont_type	radiation_regm	rainfall_regm	rel_to_oxygen	root_cond	root_med_carbon	root_med_macronutr	root_med_micronutr	root_med_ph	root_med_regl	root_med_solid	root_med_suppl	salt_regm	samp_capt_status	samp_collect_device	samp_dis_stage	samp_mat_process	samp_salinity	samp_size	samp_store_dur	samp_store_loc	samp_store_temp	samp_vol_we_dna_ext	season_environment	size_frac	source_material_id	standing_water_regm	temp	tiss_cult_growth_med	water_temp_regm	watering_regm	description	unique_id	drought	inoculum	fire_freq	species	filename_r1	filename_r2	wilting_scale	bud_number	leaf_number	leaf_length	height	nodule_num	shoot_dm	final_root_dm	seqtab_rows	inoculum_site	inoculum_burn_freq	mean_no3	mean_nh4	mean_p	mean_k	mean_so4_s	mean_b	mean_om	mean_ph	mean_ec	mean_zn	mean_mn	mean_cu	mean_fe	mean_ca	mean_mg	mean_na	mean_tkn	mean_c_n_ratio	mean_sand	mean_silt	mean_clay	other_frompreviouscolumn
SAMN39447184	Successfully loaded	R-012_16S			root metagenome	2023	Greenhouse [ENVO_03600087]	rhizosphere environment [ENVO_01000999]	greenhouse soil [ENVO_00005780]	USA: Pullman, Washington	Ceanothus velutinus	NA																																																																																							Q012	D	0Burn_W2	0	Snowbrush	R-012_S73_L001_R1_001.fastq.gz	R-012_S73_L001_R2_001.fastq.gz	3	0	21	2.6	6.1	0	0.5126	0.8267	R-012	2	0	1.33333333333333	8.1	7.66666666666667	92.3333333333333	6	0.043333333333333	6.40666666666667	6.16666666666667	0.086666666666667	0.266666666666667	16	0.433333333333333	29	1.83333333333333	0.333333333333333	0.036666666666667	0.166333333333333	26.2156666666667	80.8	18.8	0.4	NA
SAMN39447185	Successfully loaded	R-013_16S			root metagenome	2023	Greenhouse [ENVO_03600087]	rhizosphere environment [ENVO_01000999]	greenhouse soil [ENVO_00005780]	USA: Pullman, Washington	Abies grandis	NA																																																																																							Q013	ND	1Burn_W4	1	GrandFir	R-013_S100_L001_R1_001.fastq.gz	R-013_S100_L001_R2_001.fastq.gz	1	11	96	2.8	8	NA	0.6941	1.0554	R-013	4	1	4.16666666666667	10.4333333333333	8.33333333333333	72.3333333333333	9.66666666666667	0.05	5.97666666666667	6	0.033333333333333	0.333333333333333	12.2	0.733333333333333	20.6666666666667	1.5	0.333333333333333	0.056666666666667	0.103	17.1983333333333	88.8	10.8	0.4	NA
SAMN39447186	Successfully loaded	R-014_16S			root metagenome	2023	Greenhouse [ENVO_03600087]	rhizosphere environment [ENVO_01000999]	greenhouse soil [ENVO_00005780]	USA: Pullman, Washington	Ceanothus velutinus	NA																																																																																							Q014	ND	3Burn_W5	3	Snowbrush	R-014_S85_L001_R1_001.fastq.gz	R-014_S85_L001_R2_001.fastq.gz	1	0	29	3.9	6.7	5	0.8006	1.5315	R-014	5	3	14.5333333333333	7.16666666666667	7	82	4.33333333333333	0.153333333333333	7.07333333333333	6.3	0.113333333333333	0.866666666666667	15.5666666666667	0.833333333333333	23	4.96666666666667	0.566666666666667	0.05	0.239333333333333	17.4663333333333	86.8	10.8	2.4	NA
SAMN39447187	Successfully loaded	R-015_16S			root metagenome	2023	Greenhouse [ENVO_03600087]	rhizosphere environment [ENVO_01000999]	greenhouse soil [ENVO_00005780]	USA: Pullman, Washington	Abies grandis	NA																																																																																							Q015	ND	Sterile	NA	GrandFir	R-015_S112_L001_R1_001.fastq.gz	R-015_S112_L001_R2_001.fastq.gz	1	4	37	2.5	5.2	NA	0.154	0.2218	R-015	Sterile	NA	2.45	19.1	6.16666666666667	52.8333333333333	8.5	0.04	4.825	5.73333333333333	0.11	0.25	63.2833333333333	0.533333333333333	14.8333333333333	1.55	0.3	0.07	0.110333333333333	25.6353333333333	88.8	10.8	0.4	NA
SAMN39447188	Successfully loaded	R-016_16S			root metagenome	2023	Greenhouse [ENVO_03600087]	rhizosphere environment [ENVO_01000999]	greenhouse soil [ENVO_00005780]	USA: Pullman, Washington	Ceanothus velutinus	NA																																																																																							Q016	ND	Sterile	NA	Snowbrush	R-016_S2_L001_R1_001.fastq.gz	R-016_S2_L001_R2_001.fastq.gz	1	0	37	2.8	6.5	0	0.7286	0.6572	R-016	Sterile	NA	2.45	19.1	6.16666666666667	52.8333333333333	8.5	0.04	4.825	5.73333333333333	0.11	0.25	63.2833333333333	0.533333333333333	14.8333333333333	1.55	0.3	0.07	0.110333333333333	25.6353333333333	88.8	10.8	0.4	NA
SAMN39447189	Successfully loaded	R-017_16S			root metagenome	2023	Greenhouse [ENVO_03600087]	rhizosphere environment [ENVO_01000999]	greenhouse soil [ENVO_00005780]	USA: Pullman, Washington	Ceanothus velutinus	NA																																																																																							Q017	ND	3Burn_W6	3	Snowbrush	R-017_S14_L001_R1_001.fastq.gz	R-017_S14_L001_R2_001.fastq.gz	1	0	26	2.7	5.8	64	0.6707	0.6419	R-017	6	3	8.53333333333333	6.2	7.66666666666667	59.3333333333333	4.66666666666667	0.103333333333333	5.67	5.73333333333333	0.053333333333333	0.733333333333333	10.2333333333333	0.766666666666667	23	2.86666666666667	0.4	0.046666666666667	0.156666666666667	21.452	90.8	8.8	0.4	NA
SAMN39447190	Successfully loaded	R-018_16S			root metagenome	2023	Greenhouse [ENVO_03600087]	rhizosphere environment [ENVO_01000999]	greenhouse soil [ENVO_00005780]	USA: Pullman, Washington	Ceanothus velutinus	NA																																																																																							Q018	D	3Burn_W6	3	Snowbrush	R-018_S26_L001_R1_001.fastq.gz	R-018_S26_L001_R2_001.fastq.gz	6	0	28	2.6	5.7	7	0.4913	0.7383	R-018	6	3	8.53333333333333	6.2	7.66666666666667	59.3333333333333	4.66666666666667	0.103333333333333	5.67	5.73333333333333	0.053333333333333	0.733333333333333	10.2333333333333	0.766666666666667	23	2.86666666666667	0.4	0.046666666666667	0.156666666666667	21.452	90.8	8.8	0.4	NA
SAMN39447191	Successfully loaded	R-019_16S			root metagenome	2023	Greenhouse [ENVO_03600087]	rhizosphere environment [ENVO_01000999]	greenhouse soil [ENVO_00005780]	USA: Pullman, Washington	Ceanothus velutinus	NA																																																																																							Q019	D	3Burn_W5	3	Snowbrush	R-019_S38_L001_R1_001.fastq.gz	R-019_S38_L001_R2_001.fastq.gz	6	0	35	2.6	5.2	9	0.5319	1.5298	R-019	5	3	14.5333333333333	7.16666666666667	7	82	4.33333333333333	0.153333333333333	7.07333333333333	6.3	0.113333333333333	0.866666666666667	15.5666666666667	0.833333333333333	23	4.96666666666667	0.566666666666667	0.05	0.239333333333333	17.4663333333333	86.8	10.8	2.4	NA
SAMN39447192	Successfully loaded	R-020_16S			root metagenome	2023	Greenhouse [ENVO_03600087]	rhizosphere environment [ENVO_01000999]	greenhouse soil [ENVO_00005780]	USA: Pullman, Washington	Ceanothus velutinus	NA																																																																																							Q020	D	0Burn_W1	0	Snowbrush	R-020_S50_L001_R1_001.fastq.gz	R-020_S50_L001_R2_001.fastq.gz	6	0	26	1.7	4.6	2	0.4236	0.4938	R-020	1	0	1.36666666666667	10.0666666666667	10	108	12	0.036666666666667	7.89333333333333	5.96666666666667	0.096666666666667	0.733333333333333	26.3	0.533333333333333	58	1.66666666666667	0.4	0.043333333333333	0.179	26.3323333333333	80.8	18.8	0.4	NA
SAMN39447193	Successfully loaded	R-021_16S			root metagenome	2023	Greenhouse [ENVO_03600087]	rhizosphere environment [ENVO_01000999]	greenhouse soil [ENVO_00005780]	USA: Pullman, Washington	Ceanothus velutinus	NA																																																																																							Q021	D	1Burn_W4	1	Snowbrush	R-021_S62_L001_R1_001.fastq.gz	R-021_S62_L001_R2_001.fastq.gz	NA	NA	NA	NA	NA	0	0.8439	1.0848	R-021	4	1	4.16666666666667	10.4333333333333	8.33333333333333	72.3333333333333	9.66666666666667	0.05	5.97666666666667	6	0.033333333333333	0.333333333333333	12.2	0.733333333333333	20.6666666666667	1.5	0.333333333333333	0.056666666666667	0.103	17.1983333333333	88.8	10.8	0.4	NA
SAMN39447194	Successfully loaded	R-022_16S			root metagenome	2023	Greenhouse [ENVO_03600087]	rhizosphere environment [ENVO_01000999]	greenhouse soil [ENVO_00005780]	USA: Pullman, Washington	Ceanothus velutinus	NA																																																																																							Q022	ND	0Burn_W1	0	Snowbrush	R-022_S74_L001_R1_001.fastq.gz	R-022_S74_L001_R2_001.fastq.gz	1	NA	NA	NA	5.1	0	0.5135	0.6455	R-022	1	0	1.36666666666667	10.0666666666667	10	108	12	0.036666666666667	7.89333333333333	5.96666666666667	0.096666666666667	0.733333333333333	26.3	0.533333333333333	58	1.66666666666667	0.4	0.043333333333333	0.179	26.3323333333333	80.8	18.8	0.4	NA
SAMN39447195	Successfully loaded	R-023_16S			root metagenome	2023	Greenhouse [ENVO_03600087]	rhizosphere environment [ENVO_01000999]	greenhouse soil [ENVO_00005780]	USA: Pullman, Washington	Abies grandis	NA																																																																																							Q023	D	0Burn_W2	0	GrandFir	R-023_S124_L001_R1_001.fastq.gz	R-023_S124_L001_R2_001.fastq.gz	1	11	59	2.4	7.6	NA	0.3709	0.6077	R-023	2	0	1.33333333333333	8.1	7.66666666666667	92.3333333333333	6	0.043333333333333	6.40666666666667	6.16666666666667	0.086666666666667	0.266666666666667	16	0.433333333333333	29	1.83333333333333	0.333333333333333	0.036666666666667	0.166333333333333	26.2156666666667	80.8	18.8	0.4	NA
SAMN39447196	Successfully loaded	R-024_16S			root metagenome	2023	Greenhouse [ENVO_03600087]	rhizosphere environment [ENVO_01000999]	greenhouse soil [ENVO_00005780]	USA: Pullman, Washington	Abies grandis	NA																																																																																							Q024	D	3Burn_W5	3	GrandFir	R-024_S136_L001_R1_001.fastq.gz	R-024_S136_L001_R2_001.fastq.gz	1	7	48	4	7.9	NA	0.4483	0.829	R-024	5	3	14.5333333333333	7.16666666666667	7	82	4.33333333333333	0.153333333333333	7.07333333333333	6.3	0.113333333333333	0.866666666666667	15.5666666666667	0.833333333333333	23	4.96666666666667	0.566666666666667	0.05	0.239333333333333	17.4663333333333	86.8	10.8	2.4	NA
SAMN39447197	Successfully loaded	R-025_16S			root metagenome	2023	Greenhouse [ENVO_03600087]	rhizosphere environment [ENVO_01000999]	greenhouse soil [ENVO_00005780]	USA: Pullman, Washington	Abies grandis	NA																																																																																							Q025	D	0Burn_W1	0	GrandFir	R-025_S148_L001_R1_001.fastq.gz	R-025_S148_L001_R2_001.fastq.gz	1	6	49	2.2	6.5	NA	0.2379	0.3956	R-025	1	0	1.36666666666667	10.0666666666667	10	108	12	0.036666666666667	7.89333333333333	5.96666666666667	0.096666666666667	0.733333333333333	26.3	0.533333333333333	58	1.66666666666667	0.4	0.043333333333333	0.179	26.3323333333333	80.8	18.8	0.4	NA
SAMN39447198	Successfully loaded	R-026_16S			root metagenome	2023	Greenhouse [ENVO_03600087]	rhizosphere environment [ENVO_01000999]	greenhouse soil [ENVO_00005780]	USA: Pullman, Washington	Abies grandis	NA																																																																																							Q026	D	1Burn_W3	1	GrandFir	R-026_S160_L001_R1_001.fastq.gz	R-026_S160_L001_R2_001.fastq.gz	1	8	28	1.4	5.7	NA	0.1566	0.2113	R-026	3	1	1.7	4.96666666666667	7.33333333333333	61.6666666666667	11.3333333333333	0.07	5.18333333333333	6.36666666666667	0.416666666666667	0.1	10.1	0.666666666666667	15.3333333333333	2.03333333333333	0.3	0.04	0.099	27.1886666666667	82.8	16.8	0.4	NA
SAMN39447199	Successfully loaded	R-027_16S			root metagenome	2023	Greenhouse [ENVO_03600087]	rhizosphere environment [ENVO_01000999]	greenhouse soil [ENVO_00005780]	USA: Pullman, Washington	Abies grandis	NA																																																																																							Q027	ND	0Burn_W1	0	GrandFir	R-027_S172_L001_R1_001.fastq.gz	R-027_S172_L001_R2_001.fastq.gz	1	5	69	2.5	6.5	NA	0.3529	0.7022	R-027	1	0	1.36666666666667	10.0666666666667	10	108	12	0.036666666666667	7.89333333333333	5.96666666666667	0.096666666666667	0.733333333333333	26.3	0.533333333333333	58	1.66666666666667	0.4	0.043333333333333	0.179	26.3323333333333	80.8	18.8	0.4	NA
SAMN39447200	Successfully loaded	R-028_16S			root metagenome	2023	Greenhouse [ENVO_03600087]	rhizosphere environment [ENVO_01000999]	greenhouse soil [ENVO_00005780]	USA: Pullman, Washington	Ceanothus velutinus	NA																																																																																							Q028	ND	1Burn_W3	1	Snowbrush	R-028_S86_L001_R1_001.fastq.gz	R-028_S86_L001_R2_001.fastq.gz	3	0	15	1.8	3.5	0	0.4076	0.7482	R-028	3	1	1.7	4.96666666666667	7.33333333333333	61.6666666666667	11.3333333333333	0.07	5.18333333333333	6.36666666666667	0.416666666666667	0.1	10.1	0.666666666666667	15.3333333333333	2.03333333333333	0.3	0.04	0.099	27.1886666666667	82.8	16.8	0.4	NA
SAMN39447201	Successfully loaded	R-043_16S			root metagenome	2023	Greenhouse [ENVO_03600087]	rhizosphere environment [ENVO_01000999]	greenhouse soil [ENVO_00005780]	USA: Pullman, Washington	Abies grandis	NA																																																																																							Q043	ND	1Burn_W3	1	GrandFir	R-043_S184_L001_R1_001.fastq.gz	R-043_S184_L001_R2_001.fastq.gz	1	4	41	1.8	4.5	NA	0.1412	0.1743	R-043	3	1	1.7	4.96666666666667	7.33333333333333	61.6666666666667	11.3333333333333	0.07	5.18333333333333	6.36666666666667	0.416666666666667	0.1	10.1	0.666666666666667	15.3333333333333	2.03333333333333	0.3	0.04	0.099	27.1886666666667	82.8	16.8	0.4	NA
SAMN39447202	Successfully loaded	R-057_16S			root metagenome	2023	Greenhouse [ENVO_03600087]	rhizosphere environment [ENVO_01000999]	greenhouse soil [ENVO_00005780]	USA: Pullman, Washington	Ceanothus velutinus	NA																																																																																							Q057	ND	1Burn_W4	1	Snowbrush	R-057_S15_L001_R1_001.fastq.gz	R-057_S15_L001_R2_001.fastq.gz	1	0	22	3	6.5	0	0.5399	0.9358	R-057	4	1	4.16666666666667	10.4333333333333	8.33333333333333	72.3333333333333	9.66666666666667	0.05	5.97666666666667	6	0.033333333333333	0.333333333333333	12.2	0.733333333333333	20.6666666666667	1.5	0.333333333333333	0.056666666666667	0.103	17.1983333333333	88.8	10.8	0.4	NA
SAMN39447203	Successfully loaded	R-058_16S			root metagenome	2023	Greenhouse [ENVO_03600087]	rhizosphere environment [ENVO_01000999]	greenhouse soil [ENVO_00005780]	USA: Pullman, Washington	Abies grandis	NA																																																																																							Q058	D	3Burn_W6	3	GrandFir	R-058_S101_L001_R1_001.fastq.gz	R-058_S101_L001_R2_001.fastq.gz	1	4	52	1.7	6.4	NA	0.2137	0.3377	R-058	6	3	8.53333333333333	6.2	7.66666666666667	59.3333333333333	4.66666666666667	0.103333333333333	5.67	5.73333333333333	0.053333333333333	0.733333333333333	10.2333333333333	0.766666666666667	23	2.86666666666667	0.4	0.046666666666667	0.156666666666667	21.452	90.8	8.8	0.4	NA
SAMN39447204	Successfully loaded	R-059_16S			root metagenome	2023	Greenhouse [ENVO_03600087]	rhizosphere environment [ENVO_01000999]	greenhouse soil [ENVO_00005780]	USA: Pullman, Washington	Abies grandis	NA																																																																																							Q059	ND	1Burn_W4	1	GrandFir	R-059_S113_L001_R1_001.fastq.gz	R-059_S113_L001_R2_001.fastq.gz	1	7	46	2.5	7.9	NA	0.34	0.838	R-059	4	1	4.16666666666667	10.4333333333333	8.33333333333333	72.3333333333333	9.66666666666667	0.05	5.97666666666667	6	0.033333333333333	0.333333333333333	12.2	0.733333333333333	20.6666666666667	1.5	0.333333333333333	0.056666666666667	0.103	17.1983333333333	88.8	10.8	0.4	NA
SAMN39447205	Successfully loaded	R-060_16S			root metagenome	2023	Greenhouse [ENVO_03600087]	rhizosphere environment [ENVO_01000999]	greenhouse soil [ENVO_00005780]	USA: Pullman, Washington	Abies grandis	NA																																																																																							Q060	ND	Sterile	NA	GrandFir	R-060_S125_L001_R1_001.fastq.gz	R-060_S125_L001_R2_001.fastq.gz	1	3	54	1.5	6.5	NA	0.1755	0.1646	R-060	Sterile	NA	2.45	19.1	6.16666666666667	52.8333333333333	8.5	0.04	4.825	5.73333333333333	0.11	0.25	63.2833333333333	0.533333333333333	14.8333333333333	1.55	0.3	0.07	0.110333333333333	25.6353333333333	88.8	10.8	0.4	NA
SAMN39447206	Successfully loaded	R-061_16S			root metagenome	2023	Greenhouse [ENVO_03600087]	rhizosphere environment [ENVO_01000999]	greenhouse soil [ENVO_00005780]	USA: Pullman, Washington	Abies grandis	NA																																																																																							Q061	ND	0Burn_W2	0	GrandFir	R-061_S137_L001_R1_001.fastq.gz	R-061_S137_L001_R2_001.fastq.gz	1	6	35	2.2	6.4	NA	0.2627	0.7386	R-061	2	0	1.33333333333333	8.1	7.66666666666667	92.3333333333333	6	0.043333333333333	6.40666666666667	6.16666666666667	0.086666666666667	0.266666666666667	16	0.433333333333333	29	1.83333333333333	0.333333333333333	0.036666666666667	0.166333333333333	26.2156666666667	80.8	18.8	0.4	NA
SAMN39447207	Successfully loaded	R-062_16S			root metagenome	2023	Greenhouse [ENVO_03600087]	rhizosphere environment [ENVO_01000999]	greenhouse soil [ENVO_00005780]	USA: Pullman, Washington	Ceanothus velutinus	NA																																																																																							Q062	ND	3Burn_W6	3	Snowbrush	R-062_S27_L001_R1_001.fastq.gz	R-062_S27_L001_R2_001.fastq.gz	1	0	32	4.2	6.3	198	1.8504	2.2624	R-062	6	3	8.53333333333333	6.2	7.66666666666667	59.3333333333333	4.66666666666667	0.103333333333333	5.67	5.73333333333333	0.053333333333333	0.733333333333333	10.2333333333333	0.766666666666667	23	2.86666666666667	0.4	0.046666666666667	0.156666666666667	21.452	90.8	8.8	0.4	NA
